customer_id,signup_date,acquisition_channel,city,gender,age,senior_citizen,plan,contract_type,payment_method,paperless_billing,addon_count,monthly_charge,is_verified,is_activated,tenure_months,monthly_logins,last_active_date,total_revenue,churn_date,is_churned
CUST-100028,2024-09-29,Organic Search,Mumbai,Male,55,0,Premium,Two-Year,Credit Card,No,3,975.0,1,0,20,34.0,2026-05-10,19500.0,,0
CUST-100029,2024-07-02,Referral,Delhi,Male,39,0,Standard,Monthly,UPI,No,2,604.0,1,1,22,30.0,2026-05-06,13288.0,,0
CUST-100030,2025-12-30,Referral,Bengaluru,Female,58,0,Premium,Monthly,Debit Card,Yes,1,878.0,1,1,5,23.0,2026-05-23,4390.0,,0
CUST-100031,2025-07-25,Email,Chennai,Male,59,0,Basic,Monthly,Net Banking,Yes,1,289.0,1,1,10,12.0,2026-05-18,2890.0,,0
CUST-100032,2025-05-10,Paid Social,Bengaluru,Female,32,0,Standard,Monthly,Credit Card,Yes,3,699.0,1,0,12,27.0,2026-05-12,8388.0,,0
CUST-100033,2025-06-03,Paid Social,Mumbai,Male,22,0,Basic,Annual,UPI,No,3,376.0,0,0,11,19.0,2026-05-03,4136.0,,0
CUST-100034,2026-03-15,Paid Social,Surat,Male,58,0,Standard,Monthly,Wallet,Yes,0,505.0,1,1,2,6.0,2026-05-10,1010.0,,0
CUST-100035,2025-04-30,Organic Search,Ahmedabad,Male,22,0,Standard,Monthly,UPI,Yes,1,575.0,1,1,12,23.0,2026-04-25,6900.0,2026-04-25,1
CUST-100036,2025-07-05,Organic Search,Jaipur,Male,58,0,Basic,Annual,Credit Card,Yes,0,200.0,1,1,10,14.0,2026-05-31,2000.0,,0
CUST-100037,2025-06-11,Paid Social,Chennai,Female,36,0,Premium,Two-Year,UPI,No,3,1008.0,0,0,11,21.0,2026-05-10,11088.0,,0
CUST-100038,2026-01-29,Organic Search,Chennai,Female,54,0,Standard,Monthly,Wallet,Yes,2,638.0,1,1,3,23.0,2026-04-29,1914.0,2026-04-29,1
CUST-100039,2024-11-11,Paid Search,Chennai,Female,49,0,Standard,Annual,UPI,No,0,541.0,1,1,18,23.0,2026-05-22,9738.0,,0
CUST-100040,2024-07-06,Paid Social,Mumbai,Male,19,0,Basic,Monthly,Wallet,No,2,322.0,0,0,22,15.0,2026-05-27,7084.0,,0
CUST-100041,2026-04-30,Affiliate,Pune,Female,18,0,Basic,Annual,Wallet,No,1,223.0,1,1,1,17.0,2026-05-08,223.0,,0
CUST-100042,2025-04-16,Referral,Hyderabad,Female,50,0,Basic,Monthly,Wallet,Yes,3,380.0,1,0,13,27.0,2026-05-10,4940.0,,0
CUST-100043,2025-07-26,Paid Social,Hyderabad,Male,44,0,Standard,Monthly,Net Banking,Yes,0,493.0,0,0,10,8.0,2026-05-03,4930.0,,0
CUST-100044,2025-04-02,Affiliate,Mumbai,Female,20,0,Basic,Two-Year,Debit Card,No,1,262.0,0,0,13,8.0,2026-05-16,3406.0,,0
CUST-100045,2025-01-01,Affiliate,Mumbai,Female,68,1,Premium,Annual,Wallet,Yes,2,946.0,1,1,16,17.0,2026-05-02,15136.0,,0
CUST-100046,2024-10-20,Paid Social,Delhi,Female,30,0,Premium,Monthly,UPI,No,0,791.0,1,0,19,11.0,2026-05-09,15029.0,,0
CUST-100047,2025-10-08,Paid Social,Bengaluru,Female,62,1,Basic,Two-Year,Net Banking,Yes,1,247.0,1,1,7,18.0,2026-05-16,1729.0,,0
CUST-100048,2025-07-15,Referral,Bengaluru,Female,24,0,Standard,Monthly,UPI,No,2,609.0,1,1,10,36.0,2026-05-03,6090.0,,0
CUST-100049,2025-08-30,Organic Search,Chennai,Male,30,0,Basic,Annual,UPI,No,2,351.0,0,0,9,16.0,2026-05-03,3159.0,,0
CUST-100050,2025-11-30,Organic Search,Hyderabad,Female,45,0,Basic,Annual,Credit Card,No,0,192.0,1,0,6,16.0,2026-05-10,1152.0,,0
CUST-100051,2025-01-05,Organic Search,Pune,Female,45,0,Basic,Annual,Wallet,No,2,323.0,0,0,16,13.0,2026-05-13,5168.0,,0
CUST-100052,2025-05-26,Referral,Mumbai,Male,49,0,Premium,Monthly,UPI,Yes,2,947.0,1,0,12,22.0,2026-05-26,11364.0,,0
CUST-100053,2025-08-12,Paid Search,Bengaluru,Female,26,0,Premium,Annual,Credit Card,Yes,1,869.0,1,1,9,23.0,2026-05-09,7821.0,,0
CUST-100054,2026-01-28,Referral,Delhi,Male,31,0,Basic,Annual,Debit Card,Yes,3,345.0,1,0,4,29.0,2026-05-19,1380.0,,0
CUST-100055,2024-08-11,Referral,Mumbai,Male,31,0,Basic,Monthly,Debit Card,No,2,312.0,0,0,21,21.0,2026-05-15,6552.0,,0
CUST-100056,2024-12-31,Paid Social,Ahmedabad,Female,40,0,Basic,Two-Year,UPI,Yes,3,369.0,1,0,17,23.0,2026-05-24,6273.0,,0
CUST-100057,2024-10-22,Paid Search,Delhi,Female,65,1,Standard,Monthly,Credit Card,Yes,2,593.0,0,0,19,3.0,2026-05-23,11267.0,,0
CUST-100058,2025-01-04,Organic Search,Mumbai,Female,42,0,Basic,Monthly,Debit Card,Yes,3,372.0,1,1,16,28.0,2026-05-28,5952.0,,0
CUST-100059,2026-04-13,Organic Search,Bengaluru,Female,69,1,Premium,Annual,Wallet,No,3,938.0,1,1,0,30.0,2026-04-13,938.0,2026-04-13,1
CUST-100060,2024-09-30,Paid Search,Ahmedabad,Male,31,0,Premium,Monthly,Wallet,No,1,864.0,1,1,20,11.0,2026-05-26,17280.0,,0
CUST-100061,2025-11-29,Paid Social,Mumbai,Female,30,0,Basic,Annual,UPI,No,0,199.0,1,1,6,10.0,2026-05-21,1194.0,,0
CUST-100062,2025-12-24,Paid Search,Ahmedabad,Female,23,0,Premium,Monthly,UPI,Yes,2,908.0,1,1,5,13.0,2026-05-12,4540.0,,0
CUST-100063,2025-11-25,Referral,Pune,Female,29,0,Standard,Monthly,Debit Card,No,2,592.0,1,1,6,25.0,2026-05-21,3552.0,,0
CUST-100064,2024-09-16,Paid Search,Bengaluru,Male,34,0,Standard,Annual,Credit Card,Yes,3,700.0,1,0,20,15.0,2026-05-06,14000.0,,0
CUST-100065,2024-07-31,Paid Search,Delhi,Male,37,0,Premium,Two-Year,Debit Card,No,3,970.0,1,1,22,23.0,2026-05-11,21340.0,,0
CUST-100066,2024-09-18,Paid Search,Mumbai,Female,55,0,Standard,Annual,Net Banking,No,0,515.0,1,1,20,7.0,2026-05-13,10300.0,,0
CUST-100067,2026-01-31,Paid Social,Jaipur,Male,41,0,Standard,Monthly,UPI,Yes,1,557.0,1,0,4,17.0,2026-05-16,2228.0,,0
CUST-100068,2024-06-06,Organic Search,Pune,Male,53,0,Basic,Monthly,Net Banking,Yes,2,341.0,1,1,23,18.0,2026-05-14,7843.0,,0
CUST-100069,2025-11-08,Paid Social,Pune,Female,22,0,Standard,Annual,UPI,Yes,2,628.0,1,0,6,21.0,2026-05-14,3768.0,,0
CUST-100070,2025-03-11,Organic Search,Bengaluru,Female,67,1,Basic,Two-Year,Wallet,Yes,1,261.0,1,1,14,14.0,2026-05-19,3654.0,,0
CUST-100071,2026-04-23,Paid Social,Chennai,Female,25,0,Basic,Annual,Credit Card,Yes,1,246.0,1,1,1,13.0,2026-05-19,246.0,,0
CUST-100072,2025-04-15,Affiliate,Kolkata,Female,19,0,Standard,Annual,Net Banking,Yes,1,578.0,1,0,13,14.0,2026-05-20,7514.0,,0
CUST-100073,2025-05-02,Organic Search,Delhi,Female,40,0,Basic,Monthly,UPI,Yes,3,376.0,1,1,12,16.0,2026-05-13,4512.0,,0
CUST-100074,2025-04-25,Organic Search,Hyderabad,Male,51,0,Basic,Monthly,Credit Card,Yes,3,367.0,1,1,13,16.0,2026-05-04,4771.0,,0
CUST-100075,2026-01-10,Paid Social,Mumbai,Female,30,0,Basic,Monthly,UPI,Yes,2,317.0,1,1,4,11.0,2026-05-17,1268.0,,0
CUST-100076,2025-12-11,Paid Social,Pune,Female,26,0,Premium,Monthly,Debit Card,No,0,798.0,1,1,5,18.0,2026-05-29,3990.0,,0
CUST-100077,2026-04-30,Paid Search,Delhi,Female,61,1,Standard,Monthly,Wallet,No,3,692.0,1,1,0,21.0,2026-04-30,692.0,2026-04-30,1
CUST-100078,2025-03-30,Paid Search,Ahmedabad,Male,60,1,Basic,Annual,Net Banking,Yes,2,291.0,1,0,14,17.0,2026-05-08,4074.0,,0
CUST-100079,2026-02-03,Referral,Jaipur,Male,57,0,Premium,Monthly,Debit Card,No,2,955.0,1,0,3,22.0,2026-05-14,2865.0,,0
CUST-100080,2024-06-04,Paid Search,Kolkata,Female,29,0,Premium,Monthly,UPI,No,2,926.0,1,1,23,32.0,2026-05-29,21298.0,,0
CUST-100081,2025-08-26,Paid Social,Delhi,Female,45,0,Basic,Two-Year,Wallet,Yes,1,259.0,1,0,9,12.0,2026-05-27,2331.0,,0
CUST-100082,2025-08-19,Affiliate,Surat,Female,53,0,Standard,Monthly,UPI,No,2,626.0,1,1,9,21.0,2026-05-07,5634.0,,0
CUST-100083,2024-07-08,Organic Search,Delhi,Female,40,0,Basic,Annual,Debit Card,No,2,296.0,0,0,22,22.0,2026-05-14,6512.0,,0
CUST-100084,2024-10-03,Organic Search,Bengaluru,Female,27,0,Standard,Annual,UPI,No,0,501.0,0,0,19,12.0,2026-05-19,9519.0,,0
CUST-100085,2026-05-12,Organic Search,Kolkata,Male,61,1,Standard,Annual,Net Banking,Yes,3,689.0,1,1,0,14.0,2026-05-12,689.0,2026-05-12,1
CUST-100086,2024-06-19,Referral,Delhi,Female,66,1,Basic,Annual,UPI,Yes,1,255.0,1,1,20,37.0,2026-02-09,5100.0,2026-02-09,1
CUST-100087,2025-06-04,Paid Social,Bengaluru,Female,26,0,Standard,Annual,UPI,Yes,2,627.0,1,1,11,24.0,2026-05-21,6897.0,,0
CUST-100088,2025-12-19,Organic Search,Pune,Male,54,0,Basic,Monthly,UPI,No,0,211.0,1,1,5,16.0,2026-05-18,1055.0,2026-05-18,1
CUST-100089,2026-05-18,Paid Search,Mumbai,Male,64,1,Standard,Annual,Credit Card,No,0,488.0,1,0,0,18.0,2026-05-05,488.0,,0
CUST-100090,2024-11-27,Organic Search,Delhi,Female,46,0,Basic,Two-Year,UPI,Yes,1,278.0,1,1,18,37.0,2026-05-29,5004.0,,0
CUST-100091,2025-08-30,Referral,Delhi,Female,20,0,Premium,Monthly,Wallet,Yes,1,858.0,1,0,9,13.0,2026-05-21,7722.0,,0
CUST-100092,2025-12-03,Paid Social,Pune,Male,53,0,Standard,Annual,Net Banking,Yes,0,528.0,0,0,5,15.0,2026-05-30,2640.0,,0
CUST-100093,2026-03-22,Paid Social,Mumbai,Male,66,1,Basic,Monthly,Wallet,No,2,,1,1,2,17.0,2026-05-05,678.0,,0
CUST-100094,2025-09-11,Paid Social,Mumbai,Male,31,0,Standard,Annual,UPI,Yes,0,505.0,0,0,8,23.0,2026-05-08,4040.0,,0
CUST-100095,2024-11-17,Paid Search,Hyderabad,Female,25,0,Basic,Monthly,Debit Card,Yes,0,187.0,0,0,18,19.0,2026-05-23,3366.0,,0
CUST-100096,2026-03-06,Paid Social,Mumbai,Female,31,0,Standard,Annual,Credit Card,Yes,2,617.0,1,1,2,10.0,2026-05-30,1234.0,,0
CUST-100097,2026-04-20,Organic Search,Delhi,Male,60,1,Standard,Monthly,Wallet,Yes,2,634.0,1,1,1,6.0,2026-05-20,634.0,2026-05-20,1
CUST-100098,2025-02-17,Organic Search,Hyderabad,Female,46,0,Basic,Monthly,UPI,No,2,311.0,1,1,15,28.0,2026-05-26,4665.0,,0
CUST-100099,2025-05-28,Email,Hyderabad,Male,18,0,Basic,Monthly,UPI,Yes,3,386.0,1,1,12,25.0,2026-05-02,4632.0,,0
CUST-100100,2025-09-17,Affiliate,Ahmedabad,Male,48,0,Basic,Annual,UPI,Yes,3,387.0,1,1,8,21.0,2026-05-04,3096.0,,0
CUST-100101,2026-01-28,Referral,Kolkata,Male,60,1,Standard,Two-Year,Credit Card,No,1,557.0,1,1,4,14.0,2026-05-22,2228.0,,0
CUST-100102,2025-07-20,Organic Search,Hyderabad,Female,27,0,Standard,Monthly,Net Banking,Yes,2,607.0,1,0,10,32.0,2026-05-23,6070.0,,0
CUST-100103,2025-11-29,Email,Delhi,Female,48,0,Basic,Monthly,UPI,Yes,0,223.0,0,0,6,17.0,2026-05-02,1338.0,,0
CUST-100104,2025-12-23,Referral,Hyderabad,Male,29,0,Basic,Annual,Debit Card,No,3,386.0,1,1,5,28.0,2026-05-02,1930.0,,0
CUST-100105,2024-10-30,Referral,Hyderabad,Female,18,0,Premium,Annual,UPI,No,3,974.0,1,1,19,29.0,2026-05-19,18506.0,,0
CUST-100106,2025-01-27,Paid Social,Pune,Female,38,0,Basic,Monthly,UPI,Yes,2,307.0,1,0,16,21.0,2026-05-02,4912.0,,0
CUST-100107,2026-02-06,Paid Social,Bengaluru,Female,58,0,Basic,Annual,Wallet,No,1,272.0,1,1,3,14.0,2026-05-08,816.0,,0
CUST-100108,2025-08-12,Organic Search,Hyderabad,Female,52,0,Standard,Two-Year,Net Banking,Yes,2,618.0,0,0,9,20.0,2026-05-26,5562.0,,0
CUST-100109,2024-10-24,Affiliate,Surat,Female,23,0,Basic,Monthly,Wallet,No,3,394.0,1,1,19,25.0,2026-05-26,7486.0,,0
CUST-100110,2025-06-30,Paid Social,Bengaluru,Male,27,0,Premium,Monthly,Credit Card,No,3,965.0,1,0,11,24.0,2026-05-25,10615.0,,0
CUST-100111,2024-11-02,Organic Search,Chennai,Male,46,0,Basic,Monthly,Debit Card,Yes,0,204.0,0,0,18,24.0,2026-05-25,3672.0,,0
CUST-100112,2024-07-02,Paid Social,Hyderabad,Female,34,0,Premium,Two-Year,Debit Card,No,2,912.0,0,0,22,16.0,2026-05-21,20064.0,,0
CUST-100113,2025-05-02,Paid Search,Kolkata,Female,35,0,Basic,Annual,Debit Card,Yes,0,225.0,0,0,12,18.0,2026-05-13,2700.0,,0
CUST-100114,2024-06-25,Organic Search,Jaipur,Male,40,0,Basic,Monthly,UPI,Yes,0,205.0,1,0,23,9.0,2026-05-29,4715.0,,0
CUST-100115,2026-04-27,Affiliate,Mumbai,Female,57,0,Basic,Two-Year,UPI,Yes,0,184.0,1,0,1,16.0,2026-05-03,184.0,,0
CUST-100116,2026-03-21,Referral,Mumbai,Female,47,0,Premium,Monthly,UPI,No,0,813.0,1,1,2,12.0,2026-05-25,1626.0,,0
CUST-100117,2024-11-06,Referral,Pune,Female,62,1,Standard,Annual,Debit Card,Yes,1,578.0,1,1,18,20.0,2026-05-04,10404.0,,0
CUST-100118,2025-09-11,Paid Social,Bengaluru,Female,23,0,Basic,Annual,Net Banking,No,3,374.0,1,1,8,29.0,2026-05-29,2992.0,,0
CUST-100119,2025-03-09,Paid Search,Bengaluru,Male,42,0,Premium,Annual,Debit Card,Yes,3,967.0,1,1,14,17.0,2026-05-09,13538.0,,0
CUST-100120,2025-08-21,Paid Search,Chennai,Female,46,0,Basic,Annual,UPI,Yes,3,346.0,0,0,9,36.0,2026-05-16,3114.0,,0
CUST-100121,2025-06-16,Paid Search,Jaipur,Female,57,0,Basic,Monthly,Debit Card,No,2,336.0,1,1,11,29.0,2026-05-07,3696.0,,0
CUST-100122,2025-11-24,Organic Search,Delhi,Male,44,0,Basic,Monthly,UPI,Yes,2,293.0,1,1,6,8.0,2026-05-23,1758.0,2026-05-23,1
CUST-100123,2025-12-05,Paid Social,Hyderabad,Male,65,1,Premium,Monthly,Net Banking,No,0,798.0,1,1,1,15.0,2026-01-04,798.0,2026-01-04,1
CUST-100124,2024-06-12,Organic Search,Mumbai,Female,61,1,Basic,Two-Year,UPI,No,3,353.0,1,1,23,16.0,2026-05-21,8119.0,,0
CUST-100125,2026-02-07,Paid Search,Bengaluru,Male,53,0,Basic,Monthly,Debit Card,No,0,226.0,1,1,3,18.0,2026-05-02,678.0,,0
CUST-100126,2024-11-17,Paid Social,Ahmedabad,Male,38,0,Premium,Monthly,UPI,Yes,3,999.0,1,0,18,11.0,2026-05-09,17982.0,,0
CUST-100127,2025-09-07,Organic Search,Bengaluru,Male,34,0,Standard,Monthly,UPI,Yes,2,624.0,1,1,2,28.0,2025-11-06,1248.0,2025-11-06,1
CUST-100128,2025-09-17,Organic Search,Bengaluru,Male,45,0,Basic,Monthly,Credit Card,Yes,1,275.0,1,1,7,27.0,2026-04-15,1925.0,2026-04-15,1
CUST-100129,2025-09-05,Paid Search,Hyderabad,Male,42,0,Standard,Monthly,Credit Card,No,0,497.0,1,0,8,10.0,2026-05-09,3976.0,,0
CUST-100130,2025-11-06,Organic Search,Pune,Female,19,0,Basic,Monthly,UPI,Yes,3,367.0,1,0,6,22.0,2026-05-23,2202.0,,0
CUST-100131,2024-09-04,Email,Delhi,Female,29,0,Standard,Monthly,Credit Card,No,0,474.0,1,0,20,5.0,2026-05-20,9480.0,,0
CUST-100132,2025-09-02,Paid Search,Ahmedabad,Female,61,1,Basic,Monthly,UPI,No,2,331.0,1,1,8,15.0,2026-04-30,2648.0,2026-04-30,1
CUST-100133,2025-03-01,Paid Social,Ahmedabad,Male,41,0,Standard,Monthly,Wallet,No,2,604.0,0,0,14,16.0,2026-05-29,8456.0,,0
CUST-100134,2025-03-27,Paid Search,Surat,Male,67,1,Standard,Two-Year,Credit Card,No,1,597.0,1,1,14,8.0,2026-05-22,8358.0,,0
CUST-100135,2024-09-16,Organic Search,Jaipur,Male,30,0,Basic,Annual,Credit Card,No,0,182.0,1,1,20,29.0,2026-05-24,3640.0,,0
CUST-100136,2025-08-04,Email,Delhi,Female,68,1,Basic,Annual,Credit Card,Yes,1,274.0,1,0,9,20.0,2026-05-16,2466.0,,0
CUST-100137,2025-01-22,Paid Social,Mumbai,Female,59,0,Basic,Two-Year,Net Banking,No,1,278.0,1,0,16,25.0,2026-05-09,4448.0,,0
CUST-100138,2025-10-24,Referral,Delhi,Male,36,0,Standard,Annual,UPI,Yes,1,539.0,1,1,7,18.0,2026-05-03,3773.0,,0
CUST-100139,2025-05-13,Organic Search,Hyderabad,Female,49,0,Standard,Annual,Debit Card,No,1,552.0,1,1,12,14.0,2026-05-17,6624.0,,0
CUST-100140,2025-03-24,Paid Social,Delhi,Male,69,1,Standard,Monthly,Wallet,Yes,0,496.0,1,0,14,12.0,2026-05-31,6944.0,,0
CUST-100141,2025-06-07,Paid Search,Ahmedabad,Male,50,0,Premium,Monthly,Credit Card,No,1,911.0,1,1,0,24.0,2025-06-07,911.0,2025-06-07,1
CUST-100142,2025-07-17,Email,Delhi,Female,66,1,Premium,Monthly,UPI,Yes,1,855.0,1,1,10,13.0,2026-05-15,8550.0,,0
CUST-100143,2025-10-07,Paid Search,Mumbai,Male,23,0,Premium,Two-Year,UPI,No,1,842.0,1,0,7,20.0,2026-05-04,5894.0,,0
CUST-100144,2024-07-28,Paid Social,Delhi,Female,26,0,Standard,Monthly,Wallet,Yes,0,506.0,1,0,22,8.0,2026-05-22,11132.0,,0
CUST-100145,2026-01-06,Organic Search,Mumbai,Male,18,0,Basic,Monthly,UPI,No,1,243.0,1,1,4,3.0,2026-05-04,972.0,,0
CUST-100146,2024-10-02,Paid Social,Pune,Female,34,0,Standard,Annual,UPI,Yes,3,678.0,0,0,19,20.0,2026-05-29,12882.0,,0
CUST-100147,2024-11-17,Paid Search,Bengaluru,Male,59,0,Basic,Monthly,Wallet,Yes,0,192.0,1,0,18,15.0,2026-05-28,3456.0,,0
CUST-100148,2025-12-16,Paid Social,Mumbai,Male,68,1,Basic,Annual,Net Banking,No,2,327.0,1,0,5,17.0,2026-05-05,1635.0,,0
CUST-100149,2024-06-03,Organic Search,Bengaluru,Male,46,0,Basic,Annual,Credit Card,No,3,371.0,1,1,23,21.0,2026-05-31,8533.0,,0
CUST-100150,2025-03-05,Affiliate,Bengaluru,Female,39,0,Basic,Monthly,UPI,Yes,3,369.0,1,1,14,23.0,2026-05-16,5166.0,,0
CUST-100151,2025-09-28,Affiliate,Chennai,Female,66,1,Standard,Monthly,Credit Card,Yes,1,575.0,1,1,8,13.0,2026-05-13,4600.0,,0
CUST-100152,2025-12-20,Organic Search,Jaipur,Female,48,0,Basic,Monthly,Net Banking,No,0,203.0,1,1,5,19.0,2026-05-05,1015.0,,0
CUST-100153,2026-03-14,Paid Search,Mumbai,Male,45,0,Basic,Annual,UPI,Yes,2,319.0,1,1,2,18.0,2026-05-29,638.0,,0
CUST-100154,2025-10-05,Organic Search,Kolkata,Male,22,0,Premium,Two-Year,UPI,Yes,1,830.0,1,0,7,25.0,2026-05-24,5810.0,,0
CUST-100155,2024-11-18,Referral,Hyderabad,Male,29,0,Standard,Annual,Wallet,No,1,568.0,1,1,18,10.0,2026-05-10,10224.0,,0
CUST-100156,2025-02-20,Paid Social,Hyderabad,Female,54,0,Basic,Monthly,Debit Card,Yes,2,312.0,0,0,15,19.0,2026-05-25,4680.0,,0
CUST-100157,2024-06-17,Paid Search,Delhi,Male,54,0,Basic,Monthly,Credit Card,No,1,263.0,1,1,23,22.0,2026-05-21,6049.0,,0
CUST-100158,2025-12-14,Referral,Delhi,Male,43,0,Basic,Annual,Wallet,Yes,2,291.0,1,1,5,30.0,2026-05-27,1455.0,,0
CUST-100159,2024-06-06,Referral,Ahmedabad,Female,54,0,Premium,Annual,Debit Card,No,1,863.0,1,1,10,15.0,2025-04-02,8630.0,2025-04-02,1
CUST-100160,2024-09-01,Organic Search,Surat,Female,53,0,Basic,Monthly,Wallet,Yes,3,382.0,1,1,20,30.0,2026-05-23,7640.0,,0
CUST-100161,2026-05-11,Affiliate,Pune,Male,21,0,Premium,Monthly,UPI,Yes,2,916.0,0,0,0,20.0,2026-05-03,916.0,,0
CUST-100162,2024-09-26,Organic Search,Delhi,Male,61,1,Basic,Monthly,Credit Card,No,1,246.0,1,0,20,28.0,2026-05-24,4920.0,,0
CUST-100163,2024-12-25,Organic Search,Bengaluru,Male,54,0,Standard,Monthly,Debit Card,No,0,516.0,1,1,1,5.0,2025-01-24,516.0,2025-01-24,1
CUST-100164,2025-03-26,Paid Search,Ahmedabad,Female,29,0,Basic,Annual,Credit Card,No,0,188.0,1,1,14,19.0,2026-05-09,2632.0,,0
CUST-100165,2024-09-09,Paid Social,Mumbai,Male,29,0,Standard,Two-Year,UPI,No,0,513.0,1,0,20,16.0,2026-05-06,10260.0,,0
CUST-100166,2025-09-22,Affiliate,Pune,Female,67,1,Basic,Monthly,Debit Card,Yes,3,395.0,1,0,8,21.0,2026-05-19,3160.0,,0
CUST-100167,2025-01-13,Affiliate,Bengaluru,Male,31,0,Basic,Monthly,Debit Card,No,3,367.0,1,1,16,28.0,2026-05-03,5872.0,,0
CUST-100168,2025-01-04,Paid Social,Chennai,Female,19,0,Premium,Monthly,UPI,Yes,0,810.0,1,1,13,23.0,2026-01-29,10530.0,2026-01-29,1
CUST-100169,2025-07-24,Email,Pune,Female,19,0,Standard,Monthly,Credit Card,Yes,1,553.0,1,1,1,20.0,2025-08-23,553.0,2025-08-23,1
